instance,bacnet_type,name,wire_offset,register_count,bits,encoding,scale,bacnet_units,units,period_ms,stale_ms,states,native_access,gateway_access,description
1120,characterStringValue,ATS-Next-exercise-start-date,906,1,,DATE,1/1,95,,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 906; read-only Next exercise start date. Native setting is read-only through this gateway. Controller local calendar/clock; no timezone or UTC inference.
1121,analogInput,ATS-Next-exercise-duration,907,1,,U16,1/1,72,min,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 907; read-only Next exercise duration. Native setting is read-only through this gateway.
1122,binaryInput,ATS-Exercise-schedule-1-enabled,909,1,0:0,BOOL,1/1,95,,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 909; read-only Exercise schedule 1 enabled. Native setting is read-only through this gateway.
1123,binaryInput,ATS-Exercise-schedule-1-loaded,909,1,1:1,BOOL,1/1,95,,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 909; read-only Exercise schedule 1 loaded. Native setting is read-only through this gateway.
1124,multiStateInput,ATS-Exercise-schedule-1-interval,909,1,2:3,ENUM,1/1,95,,60000,180000,1=DMO (manual notation); 2=Day; 3=Week; 4=Month; 5=Unknown,RW,read-only,MPAC1500 old-map section 13; FC03 offset 909; read-only Exercise schedule 1 interval. Native setting is read-only through this gateway.
1125,analogInput,ATS-Exercise-schedule-1-repeat-rate,909,1,4:7,U16,1/1,95,,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 909; read-only Exercise schedule 1 repeat rate. Native setting is read-only through this gateway.
1126,binaryInput,ATS-Exercise-schedule-1-running,909,1,8:8,BOOL,1/1,95,,60000,180000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 909; read-only Exercise schedule 1 running.
1127,characterStringValue,ATS-Exercise-schedule-1-start-time,910,1,,CLOCK,1/1,95,,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 910; read-only Exercise schedule 1 start time. Native setting is read-only through this gateway. Controller local calendar/clock; no timezone or UTC inference.
1128,characterStringValue,ATS-Exercise-schedule-1-start-date,911,1,,DATE,1/1,95,,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 911; read-only Exercise schedule 1 start date. Native setting is read-only through this gateway. Controller local calendar/clock; no timezone or UTC inference.
1129,analogInput,ATS-Exercise-schedule-1-duration,912,1,,U16,1/1,72,min,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 912; read-only Exercise schedule 1 duration. Native setting is read-only through this gateway.
1130,characterStringValue,ATS-Last-outage-start-time,1009,1,,CLOCK,1/1,95,,60000,180000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 1009; read-only Last outage start time. Controller local calendar/clock; no timezone or UTC inference.
1131,characterStringValue,ATS-Last-outage-date,1010,1,,DATE,1/1,95,,60000,180000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 1010; read-only Last outage date. Controller local calendar/clock; no timezone or UTC inference.
1132,analogInput,ATS-Last-outage-duration,1011,2,,U32,1/1,72,min,60000,180000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 1011; read-only Last outage duration. MSW-first duration word order is unverified; raw pair retained.
1133,characterStringValue,ATS-ATS-designation,1109,10,,ASCII,1/1,95,,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 1109; read-only ATS designation. Native setting is read-only through this gateway. Observed firmware uses low-byte-first characters within each word; numeric word order is unchanged.
1134,characterStringValue,ATS-Load-description,1119,10,,ASCII,1/1,95,,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 1119; read-only Load description. Native setting is read-only through this gateway. Observed firmware uses low-byte-first characters within each word; numeric word order is unchanged.
1135,characterStringValue,ATS-Branch-description,1129,10,,ASCII,1/1,95,,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 1129; read-only Branch description. Native setting is read-only through this gateway. Observed firmware uses low-byte-first characters within each word; numeric word order is unchanged.
1136,characterStringValue,ATS-Location,1139,10,,ASCII,1/1,95,,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 1139; read-only Location. Native setting is read-only through this gateway. Observed firmware uses low-byte-first characters within each word; numeric word order is unchanged.
1137,characterStringValue,ATS-Controller-firmware,1199,1,,VERSION,1/1,95,,60000,180000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 1199; read-only Controller firmware.
1138,analogInput,ATS-FPGA-revision-raw,1200,1,,U16,1/1,95,,60000,180000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 1200; read-only FPGA revision raw. Only low byte minor version is documented; upper byte remains raw.
1139,analogInput,ATS-MAC-low-15-bits,1201,1,,U16,1/1,95,,60000,180000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 1201; read-only MAC low 15 bits. Old-map low-15-bit identity fingerprint only; do not use on newer map.
1140,characterStringValue,ATS-Controller-time,1249,1,,CLOCK,1/1,95,,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 1249; read-only Controller time. Native setting is read-only through this gateway. Controller local calendar/clock; no timezone or UTC inference.
1141,characterStringValue,ATS-Controller-date,1250,1,,DATE,1/1,95,,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 1250; read-only Controller date. Native setting is read-only through this gateway. Controller local calendar/clock; no timezone or UTC inference.
1142,binaryInput,ATS-Daylight-saving-adjustment-enabled,1251,1,0:0,BOOL,1/1,95,,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 1251; read-only Daylight-saving adjustment enabled. Native setting is read-only through this gateway.
1143,analogInput,ATS-Closed-transition-parallel-time,1294,1,,U16,1/1,159,ms,60000,180000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 1294; read-only Closed-transition parallel time.
1144,analogInput,ATS-Normal-contact-opening-time,1295,1,,U16,1/1,159,ms,60000,180000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 1295; read-only Normal contact opening time.
1145,analogInput,ATS-Normal-contact-closing-time,1296,1,,U16,1/1,159,ms,60000,180000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 1296; read-only Normal contact closing time.
1146,analogInput,ATS-Emergency-contact-opening-time,1297,1,,U16,1/1,159,ms,60000,180000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 1297; read-only Emergency contact opening time.
1147,analogInput,ATS-Emergency-contact-closing-time,1298,1,,U16,1/1,159,ms,60000,180000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 1298; read-only Emergency contact closing time.
1148,analogInput,ATS-Time-outside-preferred-source-total,1299,2,,U32,1/1,72,min,60000,180000,,RO,read-only,"MPAC1500 old-map section 13; FC03 offset 1299; read-only Time outside preferred source total. ATS controller minutes, not generator engine runtime."
1149,analogInput,ATS-Time-outside-preferred-source-since-reset,1301,2,,U32,1/1,72,min,60000,180000,,RO,read-only,"MPAC1500 old-map section 13; FC03 offset 1301; read-only Time outside preferred source since reset. ATS controller minutes, not generator engine runtime."
1150,analogInput,ATS-Time-on-standby-total,1303,2,,U32,1/1,72,min,60000,180000,,RO,read-only,"MPAC1500 old-map section 13; FC03 offset 1303; read-only Time on standby total. ATS controller minutes, not generator engine runtime."
1151,analogInput,ATS-Time-on-standby-since-reset,1305,2,,U32,1/1,72,min,60000,180000,,RO,read-only,"MPAC1500 old-map section 13; FC03 offset 1305; read-only Time on standby since reset. ATS controller minutes, not generator engine runtime."
1152,analogInput,ATS-Operating-time-total,1307,2,,U32,1/1,72,min,60000,180000,,RO,read-only,"MPAC1500 old-map section 13; FC03 offset 1307; read-only Operating time total. ATS controller minutes, not generator engine runtime."
1153,analogInput,ATS-Operating-time-since-reset,1309,2,,U32,1/1,72,min,60000,180000,,RO,read-only,"MPAC1500 old-map section 13; FC03 offset 1309; read-only Operating time since reset. ATS controller minutes, not generator engine runtime."
1154,analogInput,ATS-Transfer-count-total,1311,1,,U16,1/1,95,count,60000,180000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 1311; read-only Transfer count total.
1155,analogInput,ATS-Transfer-count-since-reset,1312,1,,U16,1/1,95,count,60000,180000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 1312; read-only Transfer count since reset.
1156,analogInput,ATS-Failed-transfer-count-total,1313,1,,U16,1/1,95,count,60000,180000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 1313; read-only Failed transfer count total.
1157,analogInput,ATS-Failed-transfer-count-since-reset,1314,1,,U16,1/1,95,count,60000,180000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 1314; read-only Failed transfer count since reset.
1158,analogInput,ATS-Loss-of-preferred-transfer-count-total,1315,1,,U16,1/1,95,count,60000,180000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 1315; read-only Loss-of-preferred transfer count total.
1159,analogInput,ATS-Loss-of-preferred-transfer-count-since-reset,1316,1,,U16,1/1,95,count,60000,180000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 1316; read-only Loss-of-preferred transfer count since reset.
1160,analogInput,ATS-Normal-to-emergency-transfer-time,1317,1,,U16,1/1,159,ms,60000,180000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 1317; read-only Normal-to-emergency transfer time.
1161,analogInput,ATS-Emergency-to-normal-transfer-time,1318,1,,U16,1/1,159,ms,60000,180000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 1318; read-only Emergency-to-normal transfer time.
1162,characterStringValue,ATS-Last-maintenance-date,1319,1,,DATE,1/1,95,,60000,180000,,RO,read-only,"MPAC1500 old-map section 13; FC03 offset 1319; read-only Last maintenance date. Controller local calendar/clock; no timezone or UTC inference. Stored date, not proof of maintenance; known default 2001-01-01 is unverified."
1163,analogInput,ATS-Keypress-state-bitmap,3449,1,,U16,1/1,95,,10000,30000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 3449; read-only Keypress state bitmap.
1164,analogInput,ATS-Modbus-device-type,9998,1,,U16,1/1,95,,60000,180000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 9998; read-only Modbus device type.
